Time,Knee_gyro,Knee_accel,Knee_fusion,Ankle_gyro,Ankle_accel,Ankle_fusion
0.994152,-86.9526897361031,-57.142961505235114,-77.3039506074603,-56.06058312016165,-56.729440407065184,-57.045933146281484
0.999964,-88.81774714006018,-58.09088157221827,-78.61052432639944,-56.1461248432385,-56.1667099850412,-57.102384411235484
1.00578,-90.67349081967726,-59.00743524147868,-79.89297177196632,-56.22615073067965,-55.712147510076576,-57.145029219124716
1.011604,-92.51726143846827,-59.89194693639625,-81.14885072257606,-56.302294803950176,-55.37159988825847,-57.17511010609258
1.017408,-94.34635684998223,-60.74620067613069,-82.37603219426842,-56.37606461548635,-55.1458256389469,-57.1995450968919
1.023216,-96.15816252295413,-61.575286005004536,-83.57267165360304,-56.44875909548785,-55.027814111673585,-57.21912535473536
1.029032,-97.95029466363945,-62.385840954378835,-84.73810504922133,-56.521424276964474,-55.00294797332507,-57.23905257525068
1.034844,-99.72074073996511,-63.1843834822465,-85.87156715831232,-56.59484401982082,-55.05305340255398,-57.25963974733279
1.040656,-101.46799629892722,-63.97731528326099,-86.97420506185232,-56.669551438983724,-55.160395899855466,-57.283861688315746
1.046484,-103.19119490944938,-64.77053010286181,-88.04656707987712,-56.74584672826635,-55.30866700728,-57.31157763450778
1.052308,-104.89020297615662,-65.56713968416156,-89.09132880644785,-56.82380981518113,-55.48305096715319,-57.34374968643748
1.058116,-106.56563986277843,-66.36684167137626,-90.11017557571651,-56.90330091733915,-55.67176991603765,-57.379821811585444
1.06394,-108.21881200421258,-67.17027223409033,-91.10679618328832,-56.983953766447854,-55.866779752573215,-57.419324436661675
1.069756,-109.85158795674414,-67.98357979289483,-92.0835117553833,-57.06517816884199,-56.06162790747762,-57.461406345343605
1.075564,-111.46624507004499,-68.81760908224047,-93.04470495153558,-57.14618694212654,-56.2494222116806,-57.504754151725514
1.0814,-113.06530278481259,-69.68383121364285,-93.99276330311886,-57.22604773242313,-56.42347531651571,-57.54846790955688
1.087208,-114.65135685515119,-70.59117078170144,-94.93234125179534,-57.30374949116778,-56.57895569338311,-57.59095663105988
1.093028,-116.22693351409765,-71.54489581080932,-95.86546031124374,-57.37827926097252,-56.71332698252981,-57.63160309654975
1.098848,-117.79437769351162,-72.54710129309188,-96.79635119034054,-57.448714259466406,-56.82560142049438,-57.669122651178164
1.10466,-119.35577750776262,-73.59730314418259,-97.72643842079269,-57.51432615226995,-56.915545233688576,-57.703475846375646
1.110472,-120.91291400898551,-74.69256770847589,-98.65890526316703,-57.57467768064198,-56.983854495941515,-57.73410605589059
1.116288,-122.4672272391105,-75.82779708373778,-99.59453344544316,-57.62969042931043,-57.03288734146907,-57.761660629486045
1.122096,-124.01980270349802,-76.99521215334732,-100.53498690982659,-57.67967613805685,-57.06602413088133,-57.78636307038834
1.127908,-125.5713814255376,-78.18275841257014,-101.48051816629959,-57.7253324527587,-57.08572829628343,-57.8093939898037
1.133724,-127.12239286495652,-79.37312830253246,-102.4307480171511,-57.76770257364683,-57.092644023133886,-57.83136922662834
1.139548,-128.67301117495535,-80.54323161851477,-103.38558065209136,-57.808098548714284,-57.08611560904535,-57.8536201624892
1.145356,-130.2232255719906,-81.66491808407312,-104.34221676230413,-57.84799256392135,-57.06477229918661,-57.87652228080287
1.151168,-131.77290476404738,-82.71039318054999,-105.30029949739578,-57.88888503468434,-57.02675202011898,-57.901070162838536
1.156984,-133.3218313013786,-83.65992403992408,-106.25515852447272,-57.932163527387615,-56.96974423008852,-57.926921807704
1.162792,-134.86968742316176,-84.50571740206921,-107.20614166263354,-57.978968173157014,-56.891807213834305,-57.95431328131921
1.168604,-136.41600778820836,-85.25255237180336,-108.14846573004806,-58.03007260085623,-56.79429697744076,-57.98228409890782
1.17442,-137.9601461068854,-85.91782933764136,-109.08114195993635,-58.0857855719262,-56.684973427549735,-58.01012960159381
1.18022,-139.50127813583063,-86.52993930811994,-110.00127047107333,-58.14588573675162,-56.577198049158085,-58.03692738651142
1.186032,-141.0384161790288,-87.1241768996366,-110.90751852150721,-58.209609276930465,-56.48537824406901,-58.06119233681932
1.191856,-142.57040761766567,-87.73634860029219,-111.7997418932678,-58.275701171841966,-56.4209039537642,-58.0825942289863
1.19768,-144.0959205302084,-88.39601777146117,-112.67629049456868,-58.34251899617209,-56.3912943802101,-58.09929727771725
1.203488,-145.6134377822879,-89.1234051135204,-113.53908747961704,-58.408166291103214,-56.40175147832336,-58.111737459799464
1.209312,-147.1212746064188,-89.92975596628858,-114.38623598184691,-58.47063643618047,-56.45667551147909,-58.11822268705857
1.215132,-148.61761324741786,-90.81768098023147,-115.22018161996489,-58.52795392884291,-56.5600267318404,-58.12007820485017
1.220944,-150.10053461220423,-91.78100268660978,-116.03883782737762,-58.57830170533253,-56.71570289400848,-58.116131828253096
1.226768,-151.56803561883646,-92.8058613391377,-116.8437030621876,-58.62012356564721,-56.92831286032051,-58.1087495262496
1.23258,-153.0180352521952,-93.87400717550662,-117.63248920021428,-58.65219523750814,-57.20281485739075,-58.09745138903917
1.238388,-154.44837123050104,-94.9664422562559,-118.40489024408748,-58.67366491713123,-57.543891248661566,-58.08577123680927
1.24422,-155.85678263271254,-96.064126121482,-119.15836351379579,-58.684066706734896,-57.957981229441984,-58.07389536944418
1.250036,-157.24088232840396,-97.14710607747772,-119.89058060289976,-58.68330817369375,-58.45670385352129,-58.06682562478838
1.255844,-158.59813620161066,-98.19535067236016,-120.59870798164985,-58.671634527205605,-59.05764541998035,-58.06525897500113
1.261656,-159.9258595303351,-99.19013015240327,-121.27866113930214,-58.64957783698051,-59.782603388510566,-58.076148133833335
1.267468,-161.22122007551772,-100.11578809894897,-121.92730988668241,-58.61790089654086,-60.65622001540852,-58.100506871411454
1.273272,-162.48123558008467,-100.96307243743436,-122.53963432827544,-58.57754276829209,-61.70542244134468,-58.14753289702772
1.279092,-163.7027714305166,-101.73088881626994,-123.11222127223131,-58.52957097279903,-62.95815029422843,-58.218380810549625
1.284904,-164.8825456336665,-102.4247060110081,-123.64040510384989,-58.47513946727411,-64.44095487034296,-58.324338171114825
1.290716,-166.01713566651614,-103.05569900397984,-124.12053391970434,-58.41544924976604,-66.17746557803143,-58.466545796614845
1.29652,-167.1029839531716,-103.64290944100695,-124.54974085015465,-58.351711848333096,-68.18948388090041,-58.65776944516921
1.302336,-168.13640777783982,-104.21419584599843,-124.92424027245707,-58.28511419103463,-70.4972687186029,-58.89899112996096
1.308152,-169.11362178581655,-104.80315666531567,-125.24416208742889,-58.216781468090026,-73.11405012457939,-59.20282859423775
1.313968,-170.03077996148792,-105.44511886694134,-125.50574424500199,-58.14773879353508,-76.03577741515316,-59.56998060914903
1.319784,-170.8840305754026,-106.1740568256439,-125.71226160086395,-58.078875205182314,-79.22861699568591,-60.00871540763731
1.325596,-171.6695640850988,-107.01733990911444,-125.86013660694503,-58.01091382095792,-82.61457283669301,-60.51937510741611
1.331412,-172.38364793400214,-107.98672558162154,-125.9540424624606,-57.9443920915221,-86.06217370796267,-61.09911819939637
1.337228,-173.02265904711547,-109.07058680238319,-125.99075172760882,-57.87965278756951,-89.39324362934262,-61.747926779511374
1.343028,-173.58311918719943,-110.23299441392302,-125.97311746730085,-57.81684335068778,-92.40834537300132,-62.447419775250566
1.34884,-174.0617345518795,-111.41896035711616,-125.89847849876509,-57.7559241855741,-94.92531763773637,-63.19727884231642
1.354656,-174.45544747259336,-112.56270834960027,-125.76540704854105,-57.69668733306298,-96.81722945331654,-63.967011243497
